fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),insurance_validity_Comprehensive,insurance_validity_Third Party,insurance_validity_Third Party insurance,insurance_validity_Zero Dep,origin_country_Czech Republic,origin_country_France,origin_country_Germany,origin_country_India,origin_country_Japan,origin_country_South Korea,origin_country_Sweden,origin_country_United Kingdom,origin_country_United States
3,5.0,-0.8338994311504354,4.0,2,1.008206508732423,-0.24513553017429687,-0.8718242484771994,-0.8718242484771994,0.8551674760765463,8.99,True,False,False,False,False,False,False,False,True,False,False,False,False
2,5.0,-1.1048314663794405,4.0,2,0.27555187030252987,-0.23278584687880197,1.5293913597652011,1.5293913597652011,-0.9040009603805973,23.75,True,False,False,False,False,False,True,False,False,False,False,False,False
3,5.0,-1.3350929784062684,4.0,1,0.6418791895174764,-0.24852416278586562,-0.018380146752490816,-0.018380146752490816,1.5724718152831025,13.56,True,False,False,False,False,False,False,False,False,True,False,False,False
3,5.0,-0.24882548961659742,4.0,2,0.6418791895174764,-0.2554143824293887,1.0544521280144452,1.0544521280144452,2.28850337112478,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False
3,5.0,-0.36760143854541294,4.0,1,-0.09077544891241672,-0.24024083862425316,-0.3896524395931833,-0.3896524395931833,-0.7769044500877246,5.45,False,False,True,False,False,False,False,False,True,False,False,False,False
3,5.0,-0.5830773927917918,4.0,1,0.27555187030252987,-0.23948780915501566,-0.39447415768202343,-0.39447415768202343,0.5502449470906414,5.12,True,False,False,False,False,False,False,False,False,True,False,False,False
3,5.0,1.024944169585528,4.0,1,0.27555187030252987,-0.25115976592819683,0.5554043058194884,0.5554043058194884,-0.7176291105233805,9.3,True,False,False,False,False,False,False,False,False,True,False,False,False
3,5.0,-0.908933065094432,4.0,1,0.6418791895174764,-0.24664158911277187,-0.39206329863760336,-0.39206329863760336,-0.7409028634811597,8.02,True,False,False,False,False,False,False,True,False,False,False,False,False
3,5.0,-0.4495158860825271,4.0,2,1.008206508732423,-0.24513553017429687,0.32878355564400086,0.32878355564400086,-0.7243566797377387,10.95,True,False,False,False,False,False,False,False,True,False,False,False,False
3,5.0,-1.3758863732797513,4.0,1,1.3745338279473696,-0.2488253745735606,0.3311944146884209,0.3311944146884209,0.9628085835062753,8.99,True,False,False,False,False,True,False,False,False,False,False,False,False
3,5.0,-1.3915320327593401,4.0,2,1.3745338279473696,-0.24231166966465625,-0.8742351075216195,-0.8742351075216195,1.213728732582333,10.95,True,False,False,False,False,False,False,False,False,True,False,False,False
3,5.0,-0.9874071058349874,4.0,1,0.6418791895174764,-0.23948780915501566,-0.39447415768202343,-0.39447415768202343,0.5502449470906414,5.78,True,False,False,False,False,False,False,False,False,True,False,False,False
3,5.0,-0.859088123768098,4.0,1,1.740861147162316,-0.23158099972802196,-0.39447415768202343,-0.39447415768202343,0.5491539899207455,8.95,False,False,True,False,False,False,False,False,False,True,False,False,False
2,5.0,0.08292802290871498,4.0,2,0.27555187030252987,-0.22521790071296516,1.5293913597652011,1.5293913597652011,-0.903637307990632,23.5,True,False,False,False,False,False,True,False,False,False,False,False,False
3,5.0,-0.4495158860825271,4.0,1,0.6418791895174764,-0.24664158911277187,0.32878355564400086,0.32878355564400086,1.2684584172721107,7.95,True,False,False,False,False,False,False,False,False,False,False,False,True
3,5.0,-0.12185809593407045,4.0,2,1.008206508732423,-0.25756051641671557,0.017782738913810398,0.017782738913810398,1.9850354516987365,18.95,True,False,False,False,False,False,False,False,False,False,False,False,True
2,6.0,-0.6543020049253125,4.0,2,1.3745338279473696,-0.26396126690523425,1.5318022188096212,1.5318022188096212,2.9712607332846326,35.0,True,False,False,False,False,False,False,False,False,False,False,True,False
3,5.0,2.0294200825093904,4.0,1,-2.6550666834170427,-0.25003022172434064,-0.39447415768202343,-0.39447415768202343,-0.9227290584638103,2.09,True,False,False,False,False,False,False,True,False,False,False,False,False
3,5.0,1.3116447359654275,3.0,2,-0.8234300873423098,-0.2428764417665844,0.32878355564400086,0.32878355564400086,-0.7249021583226866,6.25,False,False,True,False,False,False,False,False,True,False,False,False,False
3,5.0,-0.4416930563427327,3.0,1,-2.288739364202096,3.446967957497141,-1.662586015046986,-1.662586015046986,-0.9218199274888971,2.12,True,False,False,False,False,False,False,True,False,False,False,False,False
2,5.0,0.4577685348385494,4.0,2,-0.8234300873423098,-0.24088091367310502,1.464298165565859,1.464298165565859,2.475420699566945,20.0,True,False,False,False,False,False,True,False,False,False,False,False,False
3,5.0,-0.08090087216551337,4.0,1,-0.09077544891241672,-0.2530799910747525,0.5554043058194884,0.5554043058194884,-0.7176291105233805,8.35,False,False,True,False,False,False,False,False,False,True,False,False,False
3,5.0,0.214605497324626,4.0,1,-0.09077544891241672,-0.230074940789547,-0.39447415768202343,-0.39447415768202343,-0.787086717006753,5.03,True,False,False,False,False,False,False,True,False,False,False,False,False
3,5.0,0.08292802290871498,4.0,1,0.27555187030252987,-0.24626507437815315,0.32637269659958074,0.32637269659958074,0.9880824246088638,6.95,True,False,False,False,False,False,False,False,True,False,False,False,False
3,5.0,-0.5991735817328347,4.0,2,1.008206508732423,-0.24739461858200937,-0.018380146752490816,-0.018380146752490816,1.5724718152831025,15.22,True,False,False,False,False,False,False,False,False,True,False,False,False
2,5.0,-0.12185809593407045,4.0,2,0.27555187030252987,-0.259819604824428,1.5390347959428814,1.5390347959428814,-0.9060010485254064,26.95,True,False,False,False,False,False,False,False,False,False,False,True,False
3,5.0,-0.3635876306160944,4.0,1,0.6418791895174764,-0.2406173533588719,-0.39447415768202343,-0.39447415768202343,0.5502449470906414,6.7,True,False,False,False,False,False,False,False,False,True,False,False,False
2,5.0,-0.4495158860825271,4.0,1,0.27555187030252987,-0.24626507437815315,1.4353678570328179,1.4353678570328179,-0.907273831890285,10.75,False,False,True,False,False,False,False,False,False,False,False,False,True
2,5.0,0.5334574843628429,4.0,2,0.6418791895174764,-0.23278584687880197,1.5293913597652011,1.5293913597652011,-0.9040009603805973,25.5,True,False,False,False,False,False,True,False,False,False,False,False,False
3,5.0,-1.5488896864781365,4.0,2,1.740861147162316,-0.2257073698679695,-0.39447415768202343,-0.39447415768202343,0.6709775405591213,8.38,True,False,False,False,False,False,False,True,False,False,False,False,False
